name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
TIC Marius-Florin,Male,Romania,Romania,['Water Polo'],['Men'],28,Yes,No,0
VANCSIK Levente,Male,Romania,Romania,['Water Polo'],['Men'],30,Yes,No,0
ALMANZA Rose Mary,Female,Cuba,Cuba,['Athletics'],"[""Women's 4 x 400m Relay"", ""Women's 800m""]",32,Yes,No,0
COOPER GASPAR Daily,Female,Cuba,Cuba,['Athletics'],"[""Women's 4 x 400m Relay"", ""Women's 800m""]",22,Yes,No,0
DIAGO MESA Sahily,Female,Cuba,Cuba,['Athletics'],"[""Women's 4 x 400m Relay""]",29,Yes,No,0
GARCIA ABREU Yunisleidy,Female,Cuba,Cuba,['Athletics'],"[""Women's 100m""]",25,Yes,No,0
GOMEZ Roxana,Female,Cuba,Cuba,['Athletics'],"[""Women's 400m"", ""Women's 4 x 400m Relay""]",25,Yes,No,0
MATHEUS Melany del Pilar,Female,Cuba,Cuba,['Athletics'],"[""Women's Discus Throw""]",23,Yes,No,0
MORALES Silinda,Female,Cuba,Cuba,['Athletics'],"[""Women's Discus Throw""]",24,Yes,No,0
PEREZ HERNANDEZ Leyanis,Female,Cuba,Cuba,['Athletics'],"[""Women's Triple Jump""]",22,Yes,No,0
POVEA Liadagmis,Female,Cuba,Cuba,['Athletics'],"[""Women's Triple Jump""]",28,Yes,No,0
KIHLENG Kestra,Female,Federated States of Micronesia,Federated States of Micronesia,['Swimming'],"[""Women's 50m Freestyle""]",21,No,No,0
ABDUL RAZZAQ Fathimath Nabaaha,Female,Maldives,Maldives,['Badminton'],"[""Women's Singles""]",25,No,No,0
KEMP Camilla,Female,Germany,Germany,['Surfing'],['Women'],28,No,No,0
ELTER Tim,Male,Germany,Germany,['Surfing'],['Men'],21,No,No,0
HOANG Thi Tinh,Female,Vietnam,Vietnam,['Judo'],['Women -48 kg'],30,Yes,No,0
LI Yvonne,Female,Germany,Germany,['Badminton'],"[""Women's Singles""]",26,No,No,0
LAMSFUSS Mark,Male,Germany,Germany,['Badminton'],"[""Men's Doubles""]",30,Yes,No,0
ROTH Fabian,Male,Germany,Germany,['Badminton'],"[""Men's Singles""]",29,No,No,0
SEIDEL Marvin,Male,Germany,Germany,['Badminton'],"[""Men's Doubles""]",29,Yes,No,0
ESSAYI Anass,Male,Morocco,Morocco,['Athletics'],"[""Men's 1500m""]",23,No,No,0
RAZIKI Assia,Female,Morocco,Morocco,['Athletics'],"[""Women's 800m""]",28,No,No,0
TAHIRI Rahma,Female,Morocco,Morocco,['Athletics'],"[""Women's Marathon""]",26,Yes,No,0
LAU Ashley,Female,Malaysia,Malaysia,['Golf'],"[""Women's Individual Stroke Play""]",24,No,No,0
GREEN Gavin,Male,Malaysia,Malaysia,['Golf'],"[""Men's Individual Stroke Play""]",31,No,No,0
MUYDINKHUJAEV Asadkhuja,Male,Uzbekistan,Uzbekistan,['Boxing'],"[""Men's 71kg""]",23,No,Yes,1
ENNADI Noura,Female,Morocco,Morocco,['Athletics'],"[""Women's 400m Hurdles""]",25,No,No,0
KHABIBULLAEV Turabek,Male,Uzbekistan,Uzbekistan,['Boxing'],"[""Men's 80kg""]",20,No,No,0
EDTMAYER Tyler,Male,Germany,Germany,['Skateboarding'],"[""Men's Park""]",24,No,No,0
STOEPHASIUS Lilly,Female,Germany,Germany,['Skateboarding'],"[""Women's Park""]",17,No,No,0
MULLOJONOV Lazizbek,Male,Uzbekistan,Uzbekistan,['Boxing'],"[""Men's 92kg""]",25,No,Yes,1
JALOLOV Bakhodir,Male,Uzbekistan,Uzbekistan,['Boxing'],"[""Men's +92kg""]",30,Yes,Yes,1
RAMAZANOV Magomed Eldarovitch,Male,Bulgaria,Bulgaria,['Wrestling'],"[""Men's Freestyle 86kg""]",31,No,Yes,1
DULCE Anna,Female,Republic of Moldova,Republic of Moldova,['Shooting'],['10m Air Pistol Women'],19,Yes,No,0
PUENTENER Romano,Male,Liechtenstein,Liechtenstein,['Cycling Mountain Bike'],"[""Men's Cross-country""]",20,No,No,0
BURRAJ Franko,Male,Albania,Albania,['Athletics'],"[""Men's 100m""]",26,Yes,No,0
FASSI Maria,Female,Mexico,Mexico,['Golf'],"[""Women's Individual Stroke Play""]",26,No,No,0
